# Mixing Chamber
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523609853000000000e+09 0.000000000000000000e+00
1.523609913000000000e+09 0.000000000000000000e+00
1.523609973000000000e+09 0.000000000000000000e+00
1.523610033000000000e+09 0.000000000000000000e+00
1.523610094000000000e+09 0.000000000000000000e+00
1.523610154000000000e+09 0.000000000000000000e+00
1.523610214000000000e+09 0.000000000000000000e+00
1.523610274000000000e+09 0.000000000000000000e+00
1.523610334000000000e+09 0.000000000000000000e+00
1.523610395000000000e+09 0.000000000000000000e+00
1.523610455000000000e+09 0.000000000000000000e+00
1.523610515000000000e+09 0.000000000000000000e+00
1.523610575000000000e+09 0.000000000000000000e+00
1.523610635000000000e+09 0.000000000000000000e+00
1.523610695000000000e+09 0.000000000000000000e+00
1.523610755000000000e+09 0.000000000000000000e+00
1.523610815000000000e+09 0.000000000000000000e+00
1.523610876000000000e+09 0.000000000000000000e+00
1.523610936000000000e+09 0.000000000000000000e+00
1.523610996000000000e+09 0.000000000000000000e+00
1.523611056000000000e+09 0.000000000000000000e+00
1.523611116000000000e+09 0.000000000000000000e+00
1.523611177000000000e+09 0.000000000000000000e+00
1.523611237000000000e+09 0.000000000000000000e+00
1.523611297000000000e+09 0.000000000000000000e+00
1.523611357000000000e+09 0.000000000000000000e+00
1.523611417000000000e+09 0.000000000000000000e+00
1.523611477000000000e+09 0.000000000000000000e+00
1.523611538000000000e+09 0.000000000000000000e+00
1.523611598000000000e+09 0.000000000000000000e+00
1.523611658000000000e+09 0.000000000000000000e+00
1.523611718000000000e+09 0.000000000000000000e+00
1.523611778000000000e+09 0.000000000000000000e+00
1.523611838000000000e+09 0.000000000000000000e+00
1.523611898000000000e+09 0.000000000000000000e+00
1.523611959000000000e+09 0.000000000000000000e+00
1.523612019000000000e+09 0.000000000000000000e+00
1.523612079000000000e+09 0.000000000000000000e+00
1.523612139000000000e+09 0.000000000000000000e+00
1.523612199000000000e+09 0.000000000000000000e+00
1.523612259000000000e+09 0.000000000000000000e+00
1.523612320000000000e+09 0.000000000000000000e+00
1.523612380000000000e+09 0.000000000000000000e+00
1.523612440000000000e+09 0.000000000000000000e+00
1.523612500000000000e+09 0.000000000000000000e+00
1.523612560000000000e+09 0.000000000000000000e+00
1.523612620000000000e+09 0.000000000000000000e+00
1.523612681000000000e+09 0.000000000000000000e+00
1.523612741000000000e+09 0.000000000000000000e+00
1.523612801000000000e+09 0.000000000000000000e+00
1.523612861000000000e+09 0.000000000000000000e+00
1.523612921000000000e+09 0.000000000000000000e+00
1.523612982000000000e+09 0.000000000000000000e+00
